,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
874,Karl-Anthony Towns,MIN,77.0,33.0,24.4,8.8,17.1,0.518,1.8,4.6,0.4,4.9,5.8,0.836,3.4,9.0,12.4,3.4,0.9,1.6,3.1,3.8,2019.0,True,213.0,113.0,NBA
875,Kyrie Irving,BOS,67.0,33.0,23.8,9.0,18.5,0.487,2.6,6.5,0.401,3.2,3.7,0.873,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,2019.0,True,188.0,87.0,NBA
876,Donovan Mitchell,UTA,77.0,33.7,23.8,8.6,19.9,0.432,2.4,6.7,0.362,4.1,5.1,0.806,0.8,3.3,4.1,4.2,1.4,0.4,2.8,2.7,2019.0,False,191.0,98.0,NBA
877,Zach LaVine,CHI,63.0,34.5,23.7,8.4,18.0,0.467,1.9,5.1,0.374,5.0,6.0,0.832,0.6,4.0,4.7,4.5,1.0,0.4,3.4,2.2,2019.0,False,196.0,91.0,NBA
878,Russell Westbrook,OKC,73.0,36.0,22.9,8.6,20.2,0.428,1.6,5.6,0.29,4.1,6.2,0.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,2019.0,False,191.0,91.0,NBA
879,Klay Thompson,GSW,78.0,34.0,21.5,8.4,18.0,0.467,3.1,7.7,0.402,1.7,2.0,0.816,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2.0,2019.0,False,198.0,95.0,NBA
880,James Harden,HOU,68.0,36.5,34.3,9.9,22.3,0.444,4.4,12.4,0.355,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,2020.0,False,196.0,100.0,NBA
881,Bradley Beal,WAS,57.0,36.0,30.5,10.4,22.9,0.455,3.0,8.4,0.353,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,2020.0,False,191.0,94.0,NBA
882,Damian Lillard,POR,66.0,37.5,30.0,9.5,20.4,0.463,4.1,10.2,0.401,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,2020.0,False,188.0,91.0,NBA
883,Trae Young,ATL,60.0,35.3,29.6,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,2020.0,False,185.0,82.0,NBA
884,Giannis Antetokounmpo,MIL,63.0,30.4,29.5,10.9,19.7,0.553,1.4,4.7,0.304,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,2020.0,True,211.0,110.0,NBA
885,Luka Doncic,DAL,61.0,33.6,28.8,9.5,20.6,0.463,2.8,8.9,0.316,7.0,9.2,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,2020.0,True,201.0,104.0,NBA
886,Russell Westbrook,HOU,57.0,36.0,27.2,10.6,22.5,0.472,1.0,3.7,0.258,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,2020.0,False,191.0,91.0,NBA
887,Kawhi Leonard,LAC,57.0,32.4,27.1,9.3,19.9,0.47,2.2,5.7,0.378,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,2020.0,False,201.0,102.0,NBA
888,Devin Booker,PHX,70.0,35.9,26.6,9.0,18.3,0.489,2.0,5.7,0.354,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,2020.0,False,198.0,93.0,NBA
889,Anthony Davis,LAL,62.0,34.4,26.1,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,2020.0,False,208.0,115.0,NBA
890,Zach LaVine,CHI,60.0,34.8,25.5,9.0,20.0,0.45,3.1,8.1,0.38,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,2020.0,False,196.0,91.0,NBA
891,LeBron James,LAL,67.0,34.6,25.3,9.6,19.4,0.493,2.2,6.3,0.348,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,2020.0,False,203.0,113.0,NBA
892,Donovan Mitchell,UTA,69.0,34.3,24.0,8.7,19.4,0.449,2.5,6.9,0.366,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,2020.0,False,191.0,98.0,NBA
893,Brandon Ingram,NOP,62.0,33.9,23.8,8.2,17.7,0.463,2.4,6.2,0.391,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,2020.0,False,201.0,86.0,NBA
894,Jayson Tatum,BOS,66.0,34.3,23.4,8.4,18.6,0.45,2.9,7.1,0.403,3.8,4.7,0.812,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,2020.0,False,203.0,95.0,NBA
895,Joel Embiid,PHI,51.0,29.5,23.0,7.5,15.7,0.477,1.1,3.4,0.331,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,2020.0,True,213.0,127.0,NBA
896,Pascal Siakam,TOR,60.0,35.2,22.9,8.3,18.4,0.453,2.2,6.1,0.359,4.0,5.1,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,2020.0,True,203.0,109.0,NBA
897,C.J. McCollum,POR,70.0,36.5,22.2,8.7,19.4,0.451,2.8,7.3,0.379,2.0,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,2020.0,False,191.0,91.0,NBA
898,DeMar DeRozan,SAS,68.0,34.1,22.1,8.2,15.4,0.531,0.1,0.5,0.257,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,2020.0,False,198.0,100.0,NBA
899,Andrew Wiggins,GSW,54.0,34.4,21.8,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5.0,0.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,2020.0,True,201.0,92.0,NBA
900,Stephen Curry,GSW,63.0,34.2,32.0,10.4,21.7,0.482,5.3,12.7,0.421,5.7,6.3,0.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,2021.0,False,191.0,90.0,NBA
901,Bradley Beal,WAS,60.0,35.8,31.3,11.2,23.0,0.485,2.2,6.2,0.349,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,2021.0,False,191.0,94.0,NBA
902,Damian Lillard,POR,67.0,35.8,28.8,9.0,19.9,0.451,4.1,10.5,0.391,6.7,7.2,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,1.5,2021.0,False,188.0,91.0,NBA
903,Joel Embiid,PHI,51.0,31.1,28.5,9.0,17.6,0.513,1.1,3.0,0.377,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,2021.0,True,213.0,127.0,NBA
904,Giannis Antetokounmpo,MIL,61.0,33.0,28.1,10.3,18.0,0.569,1.1,3.6,0.303,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,2021.0,True,211.0,110.0,NBA
905,Luka Doncic,DAL,66.0,34.3,27.7,9.8,20.5,0.479,2.9,8.3,0.35,5.2,7.1,0.73,0.8,7.2,8.0,8.6,1.0,0.5,4.3,2.3,2021.0,True,201.0,104.0,NBA
906,Zach LaVine,CHI,58.0,35.1,27.4,9.8,19.4,0.507,3.4,8.2,0.419,4.4,5.1,0.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4,2021.0,False,196.0,91.0,NBA
907,Zion Williamson,NOP,61.0,33.2,27.0,10.4,17.0,0.611,0.2,0.6,0.294,6.0,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,2021.0,False,198.0,129.0,NBA
908,Kevin Durant,BRK,35.0,33.0,26.9,9.3,17.2,0.537,2.4,5.4,0.45,6.0,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,2021.0,False,208.0,102.0,NBA
909,Kyrie Irving,BRK,54.0,34.9,26.9,10.2,20.1,0.506,2.8,7.0,0.402,3.7,4.0,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,2021.0,True,188.0,87.0,NBA
910,Jayson Tatum,BOS,64.0,35.8,26.4,9.5,20.6,0.459,2.9,7.6,0.386,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,2021.0,False,203.0,95.0,NBA
911,Donovan Mitchell,UTA,53.0,33.4,26.4,9.0,20.6,0.438,3.4,8.7,0.386,5.0,6.0,0.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,2021.0,False,191.0,98.0,NBA
912,Nikola Jokic,DEN,72.0,34.6,26.4,10.2,18.0,0.566,1.3,3.3,0.388,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,2021.0,True,213.0,129.0,NBA
913,Devin Booker,PHX,67.0,33.9,25.6,9.3,19.2,0.484,1.9,5.5,0.34,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,2021.0,False,198.0,93.0,NBA
914,Trae Young,ATL,63.0,33.7,25.3,7.7,17.7,0.438,2.2,6.3,0.343,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,2021.0,False,185.0,82.0,NBA
915,De'Aaron Fox,SAC,58.0,35.1,25.2,9.1,19.1,0.477,1.8,5.5,0.322,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3.0,2.9,2021.0,False,191.0,84.0,NBA
916,LeBron James,LAL,45.0,33.4,25.0,9.4,18.3,0.513,2.3,6.3,0.365,4.0,5.7,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,2021.0,False,203.0,113.0,NBA
917,Kawhi Leonard,LAC,52.0,34.1,24.8,8.9,17.5,0.512,1.9,4.9,0.398,5.0,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,2021.0,False,201.0,102.0,NBA
918,Karl-Anthony Towns,MIN,50.0,33.8,24.8,8.5,17.5,0.486,2.4,6.3,0.387,5.3,6.2,0.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,3.7,2021.0,True,213.0,113.0,NBA
919,Jaylen Brown,BOS,58.0,34.5,24.7,9.3,19.2,0.484,2.8,7.1,0.397,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,2021.0,False,198.0,100.0,NBA
