,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
801,James Harden,HOU,82.0,38.1,29.0,8.7,19.7,0.439,2.9,8.0,0.359,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,2016.0,False,196.0,100.0,NBA
802,Kevin Durant,OKC,72.0,35.8,28.2,9.7,19.2,0.505,2.6,6.7,0.388,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,2016.0,False,208.0,102.0,NBA
803,DeMarcus Cousins,SAC,65.0,34.6,26.9,9.2,20.5,0.451,1.1,3.2,0.333,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,2016.0,False,211.0,122.0,NBA
804,LeBron James,CLE,76.0,35.6,25.3,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,2016.0,False,203.0,113.0,NBA
805,Damian Lillard,POR,75.0,35.7,25.1,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,2016.0,False,188.0,91.0,NBA
806,Anthony Davis,NOP,61.0,35.5,24.3,9.2,18.6,0.493,0.6,1.8,0.324,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,2016.0,False,208.0,115.0,NBA
807,Russell Westbrook,OKC,80.0,34.4,23.5,8.2,18.1,0.454,1.3,4.3,0.296,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,2016.0,False,191.0,91.0,NBA
808,DeMar DeRozan,TOR,78.0,35.9,23.5,7.9,17.7,0.446,0.6,1.8,0.338,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,2016.0,False,198.0,100.0,NBA
809,Paul George,IND,81.0,34.8,23.1,7.5,17.9,0.418,2.6,7.0,0.372,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,2016.0,False,203.0,100.0,NBA
810,Isaiah Thomas,BOS,82.0,32.2,22.2,7.2,16.9,0.428,2.0,5.7,0.359,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,2016.0,False,175.0,84.0,NBA
